City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Navahrudak,BY,64.47,broken clouds,53.6,25.8333,Hotel Grazhina
233,Gravdal,NO,73.29,clear sky,68.1214,13.5031,Skreda Rorbusuiter
234,Bonavista,CA,75.2,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
236,Aksu,CN,80.35,light rain,41.1231,80.2644,Pudong Holiday Hotel
239,Santa Rosa,PH,84.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
240,Airai,TL,53.47,scattered clouds,-8.9266,125.4092,Juvinal Martin
241,Iskateley,RU,51.93,overcast clouds,67.6803,53.1512,Hostel Agat
242,Korla,CN,82.74,clear sky,41.7597,86.1469,Gulisitan Hotel
243,Palafrugell,ES,81.36,overcast clouds,41.9174,3.1631,Hotel La Torre
245,Canon City,US,82.27,clear sky,38.441,-105.2424,Travel Inn Motel
246,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
247,Shizunai,JP,72.81,few clouds,42.3339,142.3669,Shizunai Eclipse Hotel
249,Mehamn,NO,62.55,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
250,Simpang,ID,76.48,broken clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
251,Kutum,SD,82.09,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
252,Gushikawa,JP,83.79,mist,26.3544,127.8686,Kirari Guest House
256,Moose Jaw,CA,70.16,overcast clouds,50.4001,-105.5344,Temple Gardens Hotel & Spa
257,Sitka,US,57.09,mist,57.0531,-135.33,Westmark Sitka
258,Hamilton,US,83.91,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
261,Namibe,AO,75.83,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
263,Pingxiang,CN,80.73,broken clouds,27.6167,113.85,Haiyuntian Hotel
264,Laguna,US,82.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
265,Ystad,SE,73.94,clear sky,55.4297,13.8204,Continental du Sud
266,Dolores,AR,71.92,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
268,Kulhudhuffushi,MV,82.87,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
269,Kesinga,IN,80.47,overcast clouds,20.2,83.2333,HOTEL JAYASHREE
270,Saint-Joseph,RE,68.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
273,Fairbanks,US,59.09,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
274,Ambanja,MG,75.13,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
277,Etchojoa,MX,83.59,overcast clouds,26.9167,-109.6333,Cuadra RT
