City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Huntington,US,2021-08-06 21:38:06,38.4193,-82.4452,89.38,50,1,5.75
174,Batagay-Alyta,RU,2021-08-06 21:38:49,67.8006,130.4114,52.99,56,20,3.29
175,Muli,MV,2021-08-06 21:38:49,2.9167,73.5667,78.58,84,100,11.43
176,Port Elizabeth,ZA,2021-08-06 21:38:50,-33.918,25.5701,52.11,100,40,3.44
177,Dumas,US,2021-08-06 21:38:50,35.8656,-101.9732,102.04,16,1,8.05
178,Balaipungut,ID,2021-08-06 21:38:50,1.05,101.2833,79.21,89,70,1.3
179,Beohari,IN,2021-08-06 21:38:50,24.05,81.3833,75.0,91,93,6.55
180,Gillette,US,2021-08-06 21:38:51,44.2911,-105.5022,86.68,38,40,20.71
181,Carberry,CA,2021-08-06 21:38:51,49.8689,-99.3602,79.03,23,85,7.92
182,Baghdad,IQ,2021-08-06 21:35:04,33.3406,44.4009,100.31,19,0,3.44
183,Rawson,AR,2021-08-06 21:38:52,-43.3002,-65.1023,58.41,44,100,1.99
184,Yerofey Pavlovich,RU,2021-08-06 21:38:52,53.9667,121.9667,58.71,97,86,1.34
185,Belmonte,BR,2021-08-06 21:38:52,-15.8631,-38.8828,72.1,63,88,12.68
186,Oranjemund,NA,2021-08-06 21:38:53,-28.55,16.4333,55.85,72,34,4.0
187,Lasa,IT,2021-08-06 21:38:53,46.6166,10.7002,65.28,94,50,3.49
188,Manchar,IN,2021-08-06 21:38:54,19.0,73.9333,70.95,91,25,6.11
189,Guanambi,BR,2021-08-06 21:38:55,-14.2233,-42.7814,72.32,52,94,11.99
190,Nongan,CN,2021-08-06 21:38:55,44.382,125.1685,70.59,89,97,3.83
191,Khatanga,RU,2021-08-06 21:38:55,71.9667,102.5,53.53,60,0,7.94
192,Jumla,NP,2021-08-06 21:38:56,29.2747,82.1838,62.46,94,100,0.58
193,Diamantino,BR,2021-08-06 21:38:57,-14.4086,-56.4461,83.03,26,73,4.07
194,Treinta Y Tres,UY,2021-08-06 21:38:57,-33.2333,-54.3833,60.58,89,98,6.55
195,San Quintin,MX,2021-08-06 21:38:58,30.4833,-115.95,74.61,67,1,9.06
196,Northam,GB,2021-08-06 21:38:58,51.0333,-4.2167,60.66,90,10,16.11
197,Praia Da Vitoria,PT,2021-08-06 21:38:59,38.7333,-27.0667,71.85,78,75,14.94
198,Knysna,ZA,2021-08-06 21:38:59,-34.0363,23.0471,53.98,92,4,4.85
199,Lerwick,GB,2021-08-06 21:38:59,60.1545,-1.1494,59.0,83,90,22.79
200,Chuy,UY,2021-08-06 21:39:00,-33.6971,-53.4616,56.73,95,58,7.07
201,Airai,TL,2021-08-06 21:39:00,-8.9266,125.4092,52.68,76,34,4.0
202,Clyde River,CA,2021-08-06 21:39:00,70.4692,-68.5914,37.63,100,90,4.61
203,Shaowu,CN,2021-08-06 21:39:00,27.3409,117.4831,75.06,96,91,1.48
204,Khani,GE,2021-08-06 21:39:01,41.9563,42.9566,76.57,44,100,7.76
205,Honningsvag,NO,2021-08-06 21:39:01,70.9821,25.9704,55.08,78,48,8.05
206,Tabou,CI,2021-08-06 21:39:01,4.423,-7.3528,75.85,81,21,6.55
207,Paita,PE,2021-08-06 21:39:02,-5.0892,-81.1144,73.96,73,0,21.09
208,Mar Del Plata,AR,2021-08-06 21:39:02,-38.0023,-57.5575,60.82,30,0,3.0
209,Tiksi,RU,2021-08-06 21:39:02,71.6872,128.8694,41.9,91,35,4.72
210,Gavle,SE,2021-08-06 21:39:03,60.6745,17.1417,51.94,86,62,6.13
211,Taltal,CL,2021-08-06 21:39:03,-25.4,-70.4833,59.16,73,23,3.78
212,Necochea,AR,2021-08-06 21:39:03,-38.5473,-58.7368,62.04,73,92,10.63
213,Itoman,JP,2021-08-06 21:39:04,26.1247,127.6694,82.78,96,75,14.97
214,Agua Verde,MX,2021-08-06 21:39:04,22.9,-106.05,89.04,68,100,9.57
215,Georgetown,MY,2021-08-06 21:39:04,5.4112,100.3354,81.9,86,20,3.44
216,San Andres,CO,2021-08-06 21:39:05,12.5847,-81.7006,86.02,74,75,14.97
217,Danielskuil,ZA,2021-08-06 21:34:13,-28.1887,23.5395,46.42,33,4,3.29
218,Barrow,US,2021-08-06 21:35:03,71.2906,-156.7887,37.42,93,90,9.22
219,Mosquera,CO,2021-08-06 21:39:05,4.7059,-74.2302,64.49,52,40,11.5
220,Ahuimanu,US,2021-08-06 21:39:05,21.4447,-157.8378,85.75,60,40,12.66
221,Chauk,MM,2021-08-06 21:39:06,20.8833,94.8167,76.01,93,100,13.69
222,Wattegama,LK,2021-08-06 21:39:06,6.7989,81.4808,77.92,81,100,7.45
223,Carnarvon,AU,2021-08-06 21:39:07,-24.8667,113.6333,62.67,60,90,5.75
224,Constitucion,CL,2021-08-06 21:39:07,-35.3333,-72.4167,52.43,90,100,9.53
225,Nouadhibou,MR,2021-08-06 21:39:07,20.931,-17.0347,73.38,78,0,19.57
226,Vrangel,RU,2021-08-06 21:39:08,42.7297,133.0839,73.63,94,100,4.29
227,Chokurdakh,RU,2021-08-06 21:39:08,70.6333,147.9167,48.29,77,93,6.2
228,Jiblah,YE,2021-08-06 21:39:08,13.9216,44.1467,68.13,63,75,4.41
229,Pevek,RU,2021-08-06 21:39:09,69.7008,170.3133,43.11,68,39,5.97
230,Guerrero Negro,MX,2021-08-06 21:39:09,27.9769,-114.0611,84.38,54,16,14.29
231,Kismayo,SO,2021-08-06 21:39:09,-0.3582,42.5454,75.65,78,29,15.7
232,Aklavik,CA,2021-08-06 21:39:10,68.2191,-135.0107,43.63,93,90,10.36
233,Kahului,US,2021-08-06 21:39:10,20.8947,-156.47,87.06,69,20,20.71
234,Dingle,PH,2021-08-06 21:39:10,10.9995,122.6711,76.93,90,63,7.09
235,Quatre Cocos,MU,2021-08-06 21:39:11,-20.2078,57.7625,69.91,63,76,14.23
236,Robat Karim,IR,2021-08-06 21:39:11,35.4846,51.0829,84.06,21,0,3.44
237,Brufut,GM,2021-08-06 21:39:11,13.3814,-16.7518,77.09,94,75,10.36
