City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Namibe,AO,-15.1961,12.1522,75.83,78,90,18.41,overcast clouds
262,Dingli,MT,35.8614,14.3822,87.96,48,0,11.5,clear sky
263,Pingxiang,CN,27.6167,113.85,80.73,85,78,1.5,broken clouds
264,Laguna,US,38.421,-121.4238,82.02,61,1,1.01,clear sky
265,Ystad,SE,55.4297,13.8204,73.94,66,5,7.99,clear sky
266,Dolores,AR,-36.3132,-57.6792,71.92,58,53,8.19,broken clouds
267,Provideniya,RU,64.3833,-173.3,43.9,86,100,4.79,light rain
268,Kulhudhuffushi,MV,6.6221,73.07,82.87,79,100,17.67,overcast clouds
269,Kesinga,IN,20.2,83.2333,80.47,84,96,4.81,overcast clouds
270,Saint-Joseph,RE,-21.3667,55.6167,68.38,74,58,11.54,broken clouds
271,Marzuq,YE,14.4,46.4667,87.24,42,7,8.84,clear sky
272,Aykhal,RU,66.0,111.5,53.96,80,100,7.87,overcast clouds
273,Fairbanks,US,64.8378,-147.7164,59.09,93,90,8.05,light rain
274,Ambanja,MG,-13.6833,48.45,75.13,72,55,3.44,broken clouds
275,Te Anau,NZ,-45.4167,167.7167,35.94,99,100,3.36,overcast clouds
276,Cabo San Lucas,MX,22.8909,-109.9124,88.52,68,20,3.44,few clouds
277,Etchojoa,MX,26.9167,-109.6333,83.59,71,100,6.96,overcast clouds
278,Sibut,CF,5.718,19.0739,73.11,89,100,1.86,overcast clouds
279,Natal,BR,-5.795,-35.2094,86.22,51,40,23.02,scattered clouds
280,Palmer,US,42.1584,-72.3287,86.92,65,90,4.61,overcast clouds
281,Bambanglipuro,ID,-7.95,110.2833,76.78,87,6,4.21,clear sky
282,Kloulklubed,PW,7.0419,134.2556,77.5,84,100,10.02,overcast clouds
283,Guerrero Negro,MX,27.9769,-114.0611,75.15,70,5,7.56,clear sky
284,Olean,US,42.0776,-78.4297,82.09,68,75,3.44,broken clouds
285,Hambantota,LK,6.1241,81.1185,80.94,89,20,9.22,few clouds
286,Talnakh,RU,69.4865,88.3972,63.86,46,79,4.72,broken clouds
287,Gat,IL,31.61,34.7642,93.4,45,0,6.71,clear sky
288,Spring Valley,US,36.108,-115.245,88.36,18,90,0.0,smoke
289,Olavarria,AR,-36.8927,-60.3225,67.89,53,98,4.38,overcast clouds
290,Myitkyina,MM,25.3833,97.4,76.51,98,96,0.89,overcast clouds
291,Pinega,RU,64.7001,43.3936,63.48,57,94,4.27,overcast clouds
292,Dingzhou,CN,38.5131,114.9956,75.31,82,1,2.04,clear sky
293,Akonolinga,CM,3.7667,12.25,71.29,91,100,2.71,light rain
294,Pochutla,MX,15.7432,-96.4661,84.54,63,100,5.12,overcast clouds
295,Russell,US,32.3502,-85.1999,85.91,69,1,0.0,clear sky
296,Maceio,BR,-9.6658,-35.7353,80.04,65,75,14.97,broken clouds
297,Angoram,PG,-4.0625,144.0661,73.94,97,100,1.83,overcast clouds
298,Panzhihua,CN,26.5851,101.7128,78.53,71,100,1.45,overcast clouds
299,Lebowakgomo,ZA,-24.2,29.5,72.5,24,0,4.99,clear sky
300,Copala,MX,16.65,-98.9833,82.87,67,100,2.59,overcast clouds
301,Port-Gentil,GA,-0.7193,8.7815,78.76,78,90,11.5,overcast clouds
302,Zaragoza,ES,41.6561,-0.8773,87.94,30,20,8.01,few clouds
303,North Bend,US,43.4065,-124.2243,63.16,100,90,3.44,mist
304,Lola,GN,7.8,-8.5333,85.86,41,65,3.67,broken clouds
305,San Isidro,PE,-12.1167,-77.05,62.26,84,90,3.0,overcast clouds
306,Ribeira Grande,PT,38.5167,-28.7,75.6,57,40,14.97,scattered clouds
307,Mandalgovi,MN,45.7625,106.2708,64.42,48,100,9.64,overcast clouds
308,Cody,US,44.5263,-109.0565,70.02,43,1,3.44,clear sky
309,Mayo,US,38.8876,-76.5119,81.36,86,20,3.0,moderate rain
310,Olafsvik,IS,64.8945,-23.7142,54.82,76,49,2.06,scattered clouds
311,Poya,NC,-21.35,165.15,63.59,77,100,2.95,overcast clouds
312,Mungaoli,IN,24.4167,78.1,78.19,90,99,8.3,overcast clouds
313,Ponca City,US,36.707,-97.0856,85.1,72,40,10.0,scattered clouds
314,Aswan,EG,24.0934,32.907,106.9,18,0,14.97,clear sky
315,Ikalamavony,MG,-21.15,46.5833,63.25,49,0,5.59,clear sky
316,Yanaul,RU,56.2719,54.9309,66.27,52,91,6.04,overcast clouds
317,Springfield,US,37.2153,-93.2982,84.42,74,1,5.99,clear sky
318,Ancud,CL,-41.8697,-73.8203,48.42,64,86,5.91,light rain
319,Westport,US,41.1415,-73.3579,86.45,65,1,10.36,clear sky
320,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,96,75,8.05,broken clouds
321,Altamira,BR,-3.2033,-52.2064,89.69,55,0,4.61,clear sky
322,Hay River,CA,60.8156,-115.7999,60.78,94,90,1.14,moderate rain
323,Lorengau,PG,-2.0226,147.2712,79.48,79,58,6.82,light rain
324,Sao Filipe,CV,14.8961,-24.4956,78.75,79,30,4.61,scattered clouds
325,Verkhoturye,RU,58.8627,60.8054,53.69,95,100,7.9,overcast clouds
326,Antsla,EE,57.8256,26.5406,67.75,88,38,8.05,light rain
327,Bahia Honda,CU,22.9036,-83.1592,88.63,56,99,6.87,overcast clouds
328,San Quintin,MX,30.4833,-115.95,70.38,76,23,4.29,few clouds
329,Shimoda,JP,34.6667,138.95,78.6,90,100,20.92,moderate rain
330,Portland,US,45.5234,-122.6762,71.58,74,75,0.0,broken clouds
331,Yuzhnyy,RU,53.2542,83.6936,68.38,77,75,4.47,smoke
